iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,P_HTHAB,UKN	: 	0.77 	0.55 	0.78 	1.45 	0.90 	1.24 	1.59 	1.60 	1.15 
ICCS0101,PER_CNV,M,P_HTHAB,XK	: 	7.47 	: 	: 	: 	: 	9.51 	6.55 	6.63 	4.97 
ICCS0101,PER_CNV,T,NR,AL	95 	135 	168 	175 	56 	: 	: 	: 	: 	96 
ICCS0101,PER_CNV,T,NR,AT	24 	32 	25 	35 	33 	39 	29 	39 	20 	26 
ICCS0101,PER_CNV,T,NR,BA	101 	92 	79 	101 	177 	108 	109 	111 	104 	115 
ICCS0101,PER_CNV,T,NR,BE	: 	: 	245 	229 	249 	294 	246 	213 	: 	: 
ICCS0101,PER_CNV,T,NR,BG	76 	82 	98 	74 	76 	107 	114 	126 	116 	143 
ICCS0101,PER_CNV,T,NR,CH	28 	33 	39 	35 	34 	41 	30 	48 	36 	40 
ICCS0101,PER_CNV,T,NR,CY	16 	6 	3 	6 	18 	9 	2 	13 	5 	4 
ICCS0101,PER_CNV,T,NR,CZ	82 	99 	114 	137 	125 	111 	131 	109 	111 	136 
ICCS0101,PER_CNV,T,NR,DE	298 	320 	335 	320 	288 	355 	325 	380 	392 	: 
ICCS0101,PER_CNV,T,NR,DK	33 	20 	36 	25 	24 	34 	26 	54 	35 	22 
ICCS0101,PER_CNV,T,NR,EE	29 	36 	36 	32 	69 	59 	40 	53 	: 	: 
ICCS0101,PER_CNV,T,NR,ES	194 	190 	245 	227 	95 	84 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,FI	48 	54 	55 	74 	67 	71 	82 	74 	73 	93 
ICCS0101,PER_CNV,T,NR,FR	450 	447 	421 	398 	556 	583 	511 	657 	624 	661 
ICCS0101,PER_CNV,T,NR,HR	63 	70 	31 	47 	52 	47 	46 	34 	49 	43 
ICCS0101,PER_CNV,T,NR,HU	167 	189 	153 	156 	121 	136 	110 	138 	163 	136 
ICCS0101,PER_CNV,T,NR,IE	: 	: 	21 	21 	18 	20 	20 	16 	: 	: 
ICCS0101,PER_CNV,T,NR,IS	: 	1 	3 	: 	1 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,IT	594 	618 	518 	602 	535 	493 	451 	590 	596 	616 
ICCS0101,PER_CNV,T,NR,LI	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
ICCS0101,PER_CNV,T,NR,LT	148 	145 	130 	197 	173 	188 	217 	237 	213 	276 
ICCS0101,PER_CNV,T,NR,LU	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,LV	102 	103 	116 	122 	104 	84 	63 	78 	80 	105 
ICCS0101,PER_CNV,T,NR,ME	12 	11 	15 	20 	36 	6 	6 	4 	28 	: 
ICCS0101,PER_CNV,T,NR,MK	: 	: 	: 	40 	33 	38 	39 	34 	54 	33 
ICCS0101,PER_CNV,T,NR,MT	1 	1 	3 	0 	2 	2 	3 	3 	4 	1 
ICCS0101,PER_CNV,T,NR,NL	550 	479 	530 	587 	704 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,NO	: 	26 	24 	25 	27 	27 	22 	29 	23 	19 
ICCS0101,PER_CNV,T,NR,PL	210 	257 	248 	257 	325 	349 	351 	359 	344 	345 
ICCS0101,PER_CNV,T,NR,PT	60 	93 	109 	118 	132 	135 	138 	120 	160 	121 
ICCS0101,PER_CNV,T,NR,RO	781 	900 	834 	872 	828 	802 	986 	883 	767 	715 
ICCS0101,PER_CNV,T,NR,RS	96 	105 	90 	139 	125 	120 	133 	139 	106 	119 
ICCS0101,PER_CNV,T,NR,SE	143 	168 	156 	136 	146 	130 	134 	166 	150 	149 
ICCS0101,PER_CNV,T,NR,SI	: 	22 	22 	37 	39 	24 	28 	18 	23 	30 
ICCS0101,PER_CNV,T,NR,SK	31 	32 	28 	46 	41 	44 	43 	60 	46 	50 
ICCS0101,PER_CNV,T,NR,TR	: 	5861 	6539 	6381 	7227 	17802 	15215 	15871 	14992 	: 
ICCS0101,PER_CNV,T,NR,UKC-L	: 	295 	266 	347 	321 	356 	343 	346 	376 	439 
ICCS0101,PER_CNV,T,NR,UKM	30 	29 	27 	31 	47 	48 	53 	49 	52 	60 
ICCS0101,PER_CNV,T,NR,UKN	: 	8 	5 	7 	13 	9 	13 	15 	16 	10 
